epoch (ms),occurence_time,elapsed (s),x-axis (g),y-axis (g),z-axis (g),state
1541980000000.0,2018-11-11T17:56:27.078,0.0,-0.011000000000000001,0.008,0.9940000000000001,SITTING
1541980000000.0,2018-11-11T17:56:27.078,0.0,-0.011000000000000001,0.008,1.003,SITTING
1541980000000.0,2018-11-11T17:56:27.078,0.0,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:27.325,0.247,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:27.325,0.247,-0.012,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:27.325,0.247,-0.011000000000000001,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:27.569,0.491,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:27.569,0.491,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:27.569,0.491,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:27.829,0.7509999999999999,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:27.829,0.7509999999999999,-0.012,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:27.829,0.7509999999999999,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.066,0.988,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.066,0.988,-0.012,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:28.066,0.988,-0.012,0.008,1.002,SITTING
1541980000000.0,2018-11-11T17:56:28.295,1.217,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.295,1.217,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.295,1.217,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.547,1.469,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.547,1.469,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.547,1.469,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:28.785,1.7069999999999999,-0.012,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:28.785,1.7069999999999999,-0.012,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:28.785,1.7069999999999999,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:29.041,1.963,-0.011000000000000001,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:29.041,1.963,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:29.041,1.963,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:29.279,2.201,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:29.279,2.201,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:29.279,2.201,-0.012,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:29.538,2.46,-0.012,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:29.538,2.46,-0.012,0.006999999999999999,1.002,STANDING
1541980000000.0,2018-11-11T17:56:29.538,2.46,-0.012,0.006999999999999999,1.002,STANDING
1541980000000.0,2018-11-11T17:56:29.759,2.681,-0.012,0.008,1.001,STANDING
1541980000000.0,2018-11-11T17:56:29.759,2.681,-0.011000000000000001,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:29.759,2.681,-0.012,0.008,1.001,STANDING
1541980000000.0,2018-11-11T17:56:30.034,2.9560000000000004,-0.011000000000000001,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:30.034,2.9560000000000004,-0.011000000000000001,0.008,1.001,STANDING
1541980000000.0,2018-11-11T17:56:30.034,2.9560000000000004,-0.012,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:30.250,3.1719999999999997,-0.012,0.008,1.002,STANDING
1541980000000.0,2018-11-11T17:56:30.250,3.1719999999999997,-0.011000000000000001,0.008,1.002,STANDING
1541980000000.0,2018-11-11T17:56:30.250,3.1719999999999997,-0.012,0.008,1.0,STANDING
1541980000000.0,2018-11-11T17:56:30.497,3.4189999999999996,-0.012,0.008,1.001,STANDING
1541980000000.0,2018-11-11T17:56:30.497,3.4189999999999996,-0.012,0.006999999999999999,1.002,STANDING
1541980000000.0,2018-11-11T17:56:30.497,3.4189999999999996,-0.012,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:30.727,3.6489999999999996,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:30.727,3.6489999999999996,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:30.727,3.6489999999999996,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:30.959,3.8810000000000002,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:30.959,3.8810000000000002,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:30.959,3.8810000000000002,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.195,4.117,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.195,4.117,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.195,4.117,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.459,4.381,-0.011000000000000001,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:31.459,4.381,-0.012,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:31.459,4.381,-0.012,0.008,1.002,SITTING
1541980000000.0,2018-11-11T17:56:31.692,4.614,-0.011000000000000001,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.692,4.614,-0.012,0.006999999999999999,1.002,SITTING
1541980000000.0,2018-11-11T17:56:31.692,4.614,-0.011000000000000001,0.006999999999999999,1.002,SITTING
1541980000000.0,2018-11-11T17:56:31.944,4.8660000000000005,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.944,4.8660000000000005,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:31.944,4.8660000000000005,-0.012,0.008,1.002,SITTING
1541980000000.0,2018-11-11T17:56:32.178,5.1,-0.011000000000000001,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.178,5.1,-0.011000000000000001,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:32.178,5.1,-0.011000000000000001,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.447,5.369,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.447,5.369,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.447,5.369,-0.012,0.006999999999999999,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.662,5.584,-0.012,0.008,1.001,SITTING
1541980000000.0,2018-11-11T17:56:32.662,5.584,-0.011000000000000001,0.008,1.0,SITTING
1541980000000.0,2018-11-11T17:56:32.662,5.584,-0.012,0.006999999999999999,1.0,SITTING
1541980000000.0,2018-11-11T17:56:32.910,5.832000000000001,-0.012,0.008,1.001,STANDING
1541980000000.0,2018-11-11T17:56:32.910,5.832000000000001,-0.012,0.008,1.002,STANDING
1541980000000.0,2018-11-11T17:56:32.910,5.832000000000001,-0.012,0.006999999999999999,1.001,STANDING
1541980000000.0,2018-11-11T17:56:33.160,6.082000000000001,0.048,0.011000000000000001,1.06,STANDING
1541980000000.0,2018-11-11T17:56:33.160,6.082000000000001,-0.036000000000000004,0.091,1.354,STANDING
1541980000000.0,2018-11-11T17:56:33.160,6.082000000000001,0.003,-0.096,1.475,STANDING
1541980000000.0,2018-11-11T17:56:33.398,6.32,-0.087,-0.038,1.38,STANDING
1541980000000.0,2018-11-11T17:56:33.398,6.32,-0.16,0.264,0.773,STANDING
1541980000000.0,2018-11-11T17:56:33.398,6.32,-0.35600000000000004,0.5920000000000001,0.32299999999999995,STANDING
1541980000000.0,2018-11-11T17:56:33.630,6.5520000000000005,-0.621,0.49200000000000005,0.044000000000000004,STANDING
1541980000000.0,2018-11-11T17:56:33.630,6.5520000000000005,-0.7290000000000001,0.45799999999999996,0.16699999999999998,STANDING
1541980000000.0,2018-11-11T17:56:33.630,6.5520000000000005,-0.745,0.19399999999999998,0.322,STANDING
1541980000000.0,2018-11-11T17:56:33.882,6.803999999999999,-0.8859999999999999,-0.243,0.465,STANDING
1541980000000.0,2018-11-11T17:56:33.882,6.803999999999999,-0.8190000000000001,-0.142,0.649,STANDING
1541980000000.0,2018-11-11T17:56:33.882,6.803999999999999,-0.58,0.172,0.8170000000000001,STANDING
1541980000000.0,2018-11-11T17:56:34.149,7.071000000000001,-0.38299999999999995,0.402,1.171,STANDING
1541980000000.0,2018-11-11T17:56:34.149,7.071000000000001,-0.332,0.483,1.182,STANDING
1541980000000.0,2018-11-11T17:56:34.149,7.071000000000001,-0.38,0.423,0.9059999999999999,STANDING
1541980000000.0,2018-11-11T17:56:34.374,7.296,-0.465,0.264,0.8109999999999999,STANDING
1541980000000.0,2018-11-11T17:56:34.374,7.296,-0.516,0.18,0.835,STANDING
1541980000000.0,2018-11-11T17:56:34.374,7.296,-0.545,0.14300000000000002,0.812,STANDING
1541980000000.0,2018-11-11T17:56:34.630,7.5520000000000005,-0.527,0.184,0.8,STANDING
1541980000000.0,2018-11-11T17:56:34.630,7.5520000000000005,-0.501,0.225,0.848,STANDING
1541980000000.0,2018-11-11T17:56:34.630,7.5520000000000005,-0.49700000000000005,0.217,0.877,STANDING
1541980000000.0,2018-11-11T17:56:34.856,7.778,-0.504,0.184,0.8540000000000001,STANDING
1541980000000.0,2018-11-11T17:56:34.856,7.778,-0.516,0.165,0.833,STANDING
1541980000000.0,2018-11-11T17:56:34.856,7.778,-0.515,0.171,0.8390000000000001,STANDING
1541980000000.0,2018-11-11T17:56:35.107,8.029,-0.508,0.198,0.85,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.107,8.029,-0.537,0.073,0.8740000000000001,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.107,8.029,-0.657,-0.55,1.136,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.355,8.277000000000001,-0.37799999999999995,-0.235,1.1340000000000001,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.355,8.277000000000001,-0.005,0.9590000000000001,0.767,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.355,8.277000000000001,0.139,1.851,0.696,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.569,8.491,0.126,1.054,0.778,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.569,8.491,-0.20600000000000002,-0.48200000000000004,1.082,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.569,8.491,-0.7090000000000001,-0.986,1.271,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.819,8.741,-0.825,-0.841,0.897,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.819,8.741,-0.612,-0.654,0.985,LYING DOWN
1541980000000.0,2018-11-11T17:56:35.819,8.741,-0.21100000000000002,0.019,0.899,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.053,8.975,-0.107,0.8009999999999999,0.7,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.053,8.975,-0.311,0.805,0.6659999999999999,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.053,8.975,-0.38,0.684,0.799,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.308,9.23,-0.39399999999999996,0.552,0.912,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.308,9.23,-0.435,0.515,0.777,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.308,9.23,-0.45,0.489,0.6990000000000001,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.558,9.48,-0.446,0.449,0.631,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.558,9.48,-0.42100000000000004,0.375,0.371,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.558,9.48,-0.23800000000000002,0.099,0.547,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.794,9.716000000000001,0.022000000000000002,-0.081,1.2309999999999999,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.794,9.716000000000001,0.12,-0.044000000000000004,1.525,LYING DOWN
1541980000000.0,2018-11-11T17:56:36.794,9.716000000000001,0.1,0.11800000000000001,1.419,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.041,9.963,0.01,0.085,0.9670000000000001,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.041,9.963,-0.01,0.126,0.938,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.041,9.963,0.013000000000000001,0.10800000000000001,1.052,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.277,10.199,0.019,0.129,1.122,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.277,10.199,0.040999999999999995,0.358,1.171,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.277,10.199,-0.275,0.409,0.8370000000000001,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.520,10.442,-0.18,0.10400000000000001,0.54,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.520,10.442,0.28,-0.44799999999999995,0.8290000000000001,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.520,10.442,0.40399999999999997,-0.264,0.917,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.752,10.674000000000001,0.509,0.11900000000000001,0.914,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.752,10.674000000000001,0.441,0.095,0.937,LYING DOWN
1541980000000.0,2018-11-11T17:56:37.752,10.674000000000001,0.479,0.17,0.884,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.000,10.922,0.292,0.304,0.948,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.000,10.922,0.184,0.266,0.9329999999999999,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.000,10.922,0.071,0.205,1.03,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.242,11.164000000000001,-0.077,0.138,1.173,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.242,11.164000000000001,-0.11,-0.053,1.053,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.242,11.164000000000001,-0.065,-0.07200000000000001,0.818,LYING DOWN
1541980000000.0,2018-11-11T17:56:38.505,11.427,-0.327,-0.001,0.912,SITTING
1541980000000.0,2018-11-11T17:56:38.505,11.427,-0.10300000000000001,-0.26,0.9990000000000001,SITTING
1541980000000.0,2018-11-11T17:56:38.505,11.427,-0.068,-0.094,1.035,SITTING
1541980000000.0,2018-11-11T17:56:38.715,11.637,0.113,-0.309,1.237,SITTING
1541980000000.0,2018-11-11T17:56:38.715,11.637,0.423,-0.055,1.141,SITTING
1541980000000.0,2018-11-11T17:56:38.715,11.637,0.502,0.5820000000000001,0.597,SITTING
1541980000000.0,2018-11-11T17:56:38.989,11.911,-0.41700000000000004,0.1,0.292,SITTING
1541980000000.0,2018-11-11T17:56:38.989,11.911,-0.7040000000000001,-0.645,0.7,SITTING
1541980000000.0,2018-11-11T17:56:38.989,11.911,-0.569,-0.568,1.145,SITTING
1541980000000.0,2018-11-11T17:56:39.224,12.145999999999999,-0.47700000000000004,0.247,0.9329999999999999,SITTING
1541980000000.0,2018-11-11T17:56:39.224,12.145999999999999,-0.39399999999999996,0.052000000000000005,0.8240000000000001,SITTING
1541980000000.0,2018-11-11T17:56:39.224,12.145999999999999,-0.121,-0.012,0.597,SITTING
1541980000000.0,2018-11-11T17:56:39.451,12.373,0.22699999999999998,0.098,0.611,SITTING
1541980000000.0,2018-11-11T17:56:39.451,12.373,0.535,0.207,0.7390000000000001,SITTING
1541980000000.0,2018-11-11T17:56:39.451,12.373,0.843,0.151,1.032,SITTING
1541980000000.0,2018-11-11T17:56:39.694,12.616,0.9329999999999999,0.036000000000000004,1.3330000000000002,SITTING
1541980000000.0,2018-11-11T17:56:39.694,12.616,0.825,-0.12,1.197,SITTING
1541980000000.0,2018-11-11T17:56:39.694,12.616,0.626,-0.298,0.956,SITTING
1541980000000.0,2018-11-11T17:56:39.944,12.866,0.401,-0.44,0.8390000000000001,SITTING
1541980000000.0,2018-11-11T17:56:39.944,12.866,0.33399999999999996,-0.514,0.84,SITTING
1541980000000.0,2018-11-11T17:56:39.944,12.866,0.505,-0.41200000000000003,0.894,SITTING
1541980000000.0,2018-11-11T17:56:40.192,13.114,0.826,-0.254,1.113,SITTING
1541980000000.0,2018-11-11T17:56:40.192,13.114,1.073,-0.18600000000000003,1.374,SITTING
1541980000000.0,2018-11-11T17:56:40.192,13.114,1.0190000000000001,-0.106,1.26,SITTING
1541980000000.0,2018-11-11T17:56:40.427,13.349,0.746,0.049,0.995,SITTING
1541980000000.0,2018-11-11T17:56:40.427,13.349,0.466,0.174,0.74,SITTING
1541980000000.0,2018-11-11T17:56:40.427,13.349,0.14400000000000002,0.18600000000000003,0.506,SITTING
1541980000000.0,2018-11-11T17:56:40.666,13.588,-0.011000000000000001,0.17600000000000002,0.392,STANDING
1541980000000.0,2018-11-11T17:56:40.666,13.588,0.035,0.192,0.48200000000000004,STANDING
1541980000000.0,2018-11-11T17:56:40.666,13.588,0.165,0.20199999999999999,0.7140000000000001,STANDING
1541980000000.0,2018-11-11T17:56:40.903,13.825,0.415,0.09,0.865,STANDING
1541980000000.0,2018-11-11T17:56:40.903,13.825,0.6920000000000001,-0.069,0.988,STANDING
1541980000000.0,2018-11-11T17:56:40.903,13.825,1.012,-0.13,1.253,STANDING
1541980000000.0,2018-11-11T17:56:41.159,14.081,0.943,-0.099,1.6059999999999999,STANDING
1541980000000.0,2018-11-11T17:56:41.159,14.081,0.72,-0.013000000000000001,1.48,STANDING
1541980000000.0,2018-11-11T17:56:41.159,14.081,0.42,-0.122,0.98,STANDING
1541980000000.0,2018-11-11T17:56:41.408,14.33,0.237,-0.262,0.621,STANDING
1541980000000.0,2018-11-11T17:56:41.408,14.33,0.135,-0.298,0.524,STANDING
1541980000000.0,2018-11-11T17:56:41.408,14.33,0.183,-0.293,0.672,STANDING
1541980000000.0,2018-11-11T17:56:41.643,14.565,0.401,-0.295,1.0590000000000002,STANDING
1541980000000.0,2018-11-11T17:56:41.643,14.565,0.669,-0.198,1.401,STANDING
1541980000000.0,2018-11-11T17:56:41.643,14.565,0.797,0.054000000000000006,1.392,STANDING
1541980000000.0,2018-11-11T17:56:41.878,14.8,0.7190000000000001,0.22699999999999998,1.168,STANDING
1541980000000.0,2018-11-11T17:56:41.878,14.8,0.47600000000000003,0.228,0.845,STANDING
1541980000000.0,2018-11-11T17:56:41.878,14.8,0.209,0.163,0.597,STANDING
1541980000000.0,2018-11-11T17:56:42.123,15.045,0.038,0.087,0.67,STANDING
1541980000000.0,2018-11-11T17:56:42.123,15.045,-0.057,-0.067,0.8490000000000001,STANDING
1541980000000.0,2018-11-11T17:56:42.123,15.045,-0.047,-0.152,1.034,STANDING
1541980000000.0,2018-11-11T17:56:42.358,15.28,-0.035,-0.18100000000000002,0.9540000000000001,STANDING
1541980000000.0,2018-11-11T17:56:42.358,15.28,-0.001,-0.125,1.056,STANDING
1541980000000.0,2018-11-11T17:56:42.358,15.28,0.068,-0.006999999999999999,1.057,STANDING
1541980000000.0,2018-11-11T17:56:42.602,15.524000000000001,0.076,0.054000000000000006,1.043,SITTING
1541980000000.0,2018-11-11T17:56:42.602,15.524000000000001,0.038,0.046,0.996,SITTING
1541980000000.0,2018-11-11T17:56:42.602,15.524000000000001,0.044000000000000004,0.036000000000000004,0.991,SITTING
